<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Богданівка (49.91227, 28.31167) <END>
<START:location> Подільський міст (50.47223, 30.53593) <END>
<START:location> Vesenberg (50, 24.01667) <END>
<START:location> Свердликове (48.7131, 30.77627) <END>
<START:location> Бондарі (49.3, 28.48333) <END>
<START:location> Південне (46.96463, 35.21117) <END>
<START:location> Доломітне (48.41627, 38.13213) <END>
<START:location> Нішла (49.34886, 25.60625) <END>
<START:location> Плиска (51.20977, 24.25935) <END>
<START:location> Козацька вулиця (50.75314, 28.87218) <END>
<START:location> Соборний (47.8093, 35.18625) <END>
<START:location> Винятинці (48.68904, 25.90171) <END>
<START:location> Розточки (48.97315, 23.79025) <END>
<START:location> Воскресенівка (48.91797, 35.25862) <END>
<START:location> Брикуля (49.95014, 27.0157) <END>
<START:location> Лозова (48.41069, 36.36264) <END>
<START:location> Округла (48.08791, 23.66399) <END>
<START:location> Неліпино (48.56101, 23.03146) <END>
<START:location> Київ (50.584981, 30.235748) <END>
<START:location> Теребище (51.91605, 32.35601) <END>
<START:location> Les Adams (49.45361, -2.64611) <END>
<START:location> Шумили (50.70154, 34.34578) <END>
<START:location> Жовтневе (49.88397, 34.52307) <END>
<START:location> Фірсівка (47.41765, 33.95092) <END>
<START:location> Білопільський район (51.08333, 34.33333) <END>
<START:location> Барвінок (48.48032, 34.42937) <END>
<START:location> Головурів (50.18722, 30.99032) <END>
<START:location> Явірник (48.01727, 24.73052) <END>
<START:location> Вергуни (49.86159, 33.34765) <END>
<START:location> Бермана Балка (44.51011, 33.52378) <END>
<START:location> Чайковицький Заказник (49.57867, 23.51023) <END>
<START:location> Бахтинок (48.80648, 27.4705) <END>
<START:location> Плотниця (51.38646, 28.02052) <END>
<START:location> Кача (44.77635, 33.54387) <END>
<START:location> провулок Травневий (49.84342, 27.2482) <END>
<START:location> Голохвастий (49.47718, 26.21617) <END>
<START:location> Храм Святого Преподобного Серафима Саровського (46.41914, 30.71924) <END>
<START:location> Волиця (50.08795, 29.0878) <END>
<START:location> Новомилорадівка (48.23471, 34.016) <END>
<START:location> Горіхове (48.0995, 36.91667) <END>
<START:location> Станція Ушомир (50.85978, 28.58954) <END>
<START:location> Широке (46.89709, 30.03857) <END>
<START:location> Храм Донської Ікони Божої Матері (46.49371, 30.61691) <END>
<START:location> Оженківка (48.49347, 35.70633) <END>
<START:location> Чорнолозька (49.19423, 35.79704) <END>
<START:location> Вулиця Андріївського (46.49861, 30.71455) <END>
<START:location> Zulnia (51.15378, 26.36087) <END>
<START:location> Тростяниця (50.77711, 28.94342) <END>
<START:location> Новомиколаївка (47.1247, 35.2598) <END>
<START:location> Долинське (46.96911, 36.45393) <END>
<START:location> Грибова Рудня (51.95261, 31.09943) <END>
<START:location> Воздвиженське (51.86674, 33.86098) <END>
<START:location> Стара Рафалівка (51.3713, 25.86112) <END>
<START:location> Будячки (46.69745, 30.35396) <END>
<START:location> Станція Рудки (49.63874, 23.49648) <END>
<START:location> Первухинка (50.10889, 35.36706) <END>
<START:location> Молодогвардійськ (48.34511, 39.65244) <END>
<START:location> Шевченкове (48.03712, 35.50493) <END>
<START:location> Авдіївка (48.14908, 37.73336) <END>
<START:location> Миколаївка Перша (47.78473, 29.51947) <END>
<START:location> Дзюньків (49.45851, 29.44249) <END>
<START:location> Ракове (48.30489, 35.27757) <END>
<START:location> Гуліно (52.06922, 32.20566) <END>
<START:location> Великий Мидськ (51.0845, 26.14836) <END>
<START:location> Надєждине (48.91224, 36.5498) <END>
<START:location> Дібрівний (49.54806, 40.06222) <END>
<START:location> Переспа (51.23333, 26.16667) <END>
<START:location> Швейцарія (49.83811, 24.03268) <END>
<START:location> Анхара (44.85692, 34.27049) <END>
<START:location> Val du Saou (49.70532, -2.20627) <END>
<START:location> Новолазарівка (47.77703, 32.9751) <END>
<START:location> Богданівка (49.32967, 34.57984) <END>
<START:location> Гулаківка (50.08314, 32.43332) <END>
<START:location> Адамівка (47.98064, 30.23101) <END>
<START:location> Михайлівка (50.07772, 36.5281) <END>
<START:location> Собичеве (51.81651, 33.69224) <END>
<START:location> Zauddia (49.80193, 36.45377) <END>
<START:location> Станція Ярчевце (49.66372, 25.21437) <END>
<START:location> Урочище Ласочки (52.01401, 32.20965) <END>
<START:location> Нечаїв (50.97933, 32.966) <END>
<START:location> Зелений Яр (49.80911, 30.85711) <END>
<START:location> Ободівка (48.40063, 29.25588) <END>
<START:location> Запоріжжя Інтурист (47.83477, 35.14938) <END>
<START:location> Чумаки (49.26523, 34.07382) <END>
<START:location> Шабалинів (51.51547, 32.70726) <END>
<START:location> Волиця-Барилова (50.34496, 24.81413) <END>
<START:location> Новоселівка (47.64773, 29.61372) <END>
<START:location> Ямполь (49.87517, 24.18277) <END>
<START:location> Желуцьк (51.30269, 26.15383) <END>
<START:location> Слив'янка (45.66153, 34.87572) <END>
<START:location> Кам'янка (49.73355, 34.57073) <END>
<START:location> Травневе (49.44588, 38.26246) <END>
<START:location> Серединці (50.09484, 27.1347) <END>
<START:location> Трудовий (47.58333, 36.7) <END>
<START:location> Родіонівка (47.99536, 33.23294) <END>
<START:location> Селище (48.20782, 25.6713) <END>
<START:location> Revka (50.62982, 34.67144) <END>
<START:location> Сторожниця (48.60403, 22.23269) <END>
<START:location> Мошківка (50.7928, 28.43387) <END>
<START:location> Білогорівка (50.24958, 25.3945) <END>
<START:location> Заровенька (50.8657, 27.6879) <END>
<START:location> Груди (51.46451, 32.90614) <END>
<START:location> Греблина (48.10085, 24.9873) <END>
<START:location> Глинча (49.84284, 31.38425) <END>
<START:location> Боровуха (51.83115, 24.58263) <END>
<START:location> Рудня-Карпилівська (51.39424, 26.78009) <END>
<START:location> Суходоли (50.0063, 25.1109) <END>
<START:location> Станція Петропавлівка (48.43122, 36.48634) <END>
<START:location> Бобівці (48.26395, 25.6899) <END>
<START:location> Софіїно-Лиман (48.69283, 36.97634) <END>
<START:location> Грамотне (47.95223, 24.87696) <END>
<START:location> Бистриця (50.80811, 31.21942) <END>
<START:location> Станція Зачатівська (47.47037, 37.19781) <END>
<START:location> Тростянець (48.35743, 28.23227) <END>
<START:location> Верхній Токмак Другий (47.22018, 36.31363) <END>
<START:location> Бубнівка (48.71988, 29.31004) <END>
<START:location> Воробіївка (49.94071, 26.24898) <END>
<START:location> Нараївка (48.9017, 29.68526) <END>
<START:location> La Valette (49.435, -2.34861) <END>
<START:location> Стадіон Авангард імені Деняченка Анатолія Васильовича (50.76991, 29.24913) <END>
<START:location> Заможне (47.02213, 33.52436) <END>
<START:location> Shunky (50.07834, 26.36848) <END>
<START:location> Руднівка (51.02888, 34.74015) <END>
<START:location> Вулиця Костанді (46.40477, 30.72355) <END>
<START:location> Шостаківка (48.66733, 36.91992) <END>
<START:location> Бересток (48.77808, 25.71662) <END>
<START:location> Харитонівка (45.20692, 34.148) <END>
<START:location> Олександрівка (49.26009, 35.67471) <END>
<START:location> Гулівка (51.2584, 25.21916) <END>
<START:location> Райгород (48.88046, 29.08007) <END>
<START:location> Ташки (50.25291, 26.89549) <END>
<START:location> Гора Скеля (45.46723, 36.24182) <END>
<START:location> Яблунівка (49.21855, 27.38522) <END>
<START:location> Сусідовичі (49.53332, 23.02281) <END>
<START:location> Васильцівка (49.92444, 37.635) <END>
<START:location> Болото Лисицкое (51.58812, 27.16241) <END>
<START:location> Шкарув (50.43333, 26.61667) <END>
<START:location> Старий Лисець (48.87643, 24.58498) <END>
<START:location> Pazeno (48.76618, 37.97382) <END>
<START:location> Сприсівка (48.96245, 27.01082) <END>
<START:location> Poiasky (51.20142, 27.79908) <END>
<START:location> Веселе (47.08908, 37.41153) <END>
<START:location> Рожівка (50.60176, 30.75746) <END>
<START:location> Ольгине (47.47464, 33.48897) <END>
<START:location> Жирівське (49.27832, 24.16769) <END>
<START:location> Станція Феодосія (45.03049, 35.38438) <END>
<START:location> Показне (47.56582, 32.70237) <END>
<START:location> Лагульськ (50.53444, 27.97755) <END>
<START:location> Ленселище (46.64932, 30.35522) <END>
<START:location> Готель Козацький (50.4516, 30.52225) <END>
<START:location> Черниця (49.39468, 23.98452) <END>
<START:location> Федорівка (51.22009, 29.69928) <END>
<START:location> Урочище Горєле (52.1068, 32.45108) <END>
<START:location> Аянське Водосховище (44.84498, 34.28591) <END>
<START:location> Червоноармійський район (50.16667, 25.33333) <END>
<START:location> Чаньків (48.88745, 26.7835) <END>
<START:location> Грушка (48.81217, 25.05214) <END>
<START:location> Кам'янка (51.57489, 23.7484) <END>
<START:location> Artilne (49.05909, 36.15729) <END>
<START:location> Благодатне (49.69943, 35.43863) <END>
<START:location> Калинівка (49.4119, 36.17625) <END>
<START:location> Нижня Лукавиця (49.17363, 23.814) <END>
<START:location> Олешня (51.83833, 32.50774) <END>
<START:location> Дніпропетровськ Північний Схід (48.54667, 35.10083) <END>
<START:location> Вовчок (49.26986, 27.37472) <END>
<START:location> Сомакі (49.52933, 27.59158) <END>
<START:location> Голосків (49.38334, 27.34426) <END>
<START:location> Petit Coin (49.44222, -2.35778) <END>
<START:location> Вільшанка (49.57584, 31.79597) <END>
<START:location> Вишневе (49.24336, 39.09218) <END>
<START:location> Солгутове (48.32966, 29.84764) <END>
<START:location> Muravi (52.34214, 33.37852) <END>
<START:location> Новооріхівка (49.94549, 33.27725) <END>
<START:location> Олешки (46.62, 32.72) <END>
<START:location> Романівка (48.91169, 31.0389) <END>
<START:location> Тишковичі (49.7153, 22.9231) <END>
<START:location> Zahrebellia (49.95608, 32.5481) <END>
<START:location> Станція П'ятихатки-Стикова (48.42978, 33.64471) <END>
<START:location> Железный (49.43, 37.40028) <END>
<START:location> Озеро Лиман (49.14592, 35.13855) <END>
<START:location> Гановце (49.15, 24.66667) <END>
<START:location> Байрак (49.73226, 33.81287) <END>
<START:location> Грабки (48.93217, 35.06183) <END>
<START:location> Bober (51.15624, 29.54343) <END>
